1,101,5.0
1,102,2.0
1,103,4.0
1,104,5.0
1,105,3.0
1,106,2.0
1,107,1.0
1,108,2.0
1,109,3.0
1,110,2.0
1,201,4.5
1,209,4.0
2,101,2.0
2,102,5.0
2,103,4.0
2,104,3.0
2,105,2.0
2,106,3.0
2,107,3.0
2,108,5.0
2,109,1.0
2,110,2.0
2,203,5.0
2,204,4.5
3,101,3.0
3,102,3.0
3,103,3.0
3,104,2.0
3,105,5.0
3,106,5.0
3,107,2.0
3,108,1.0
3,109,2.0
3,110,5.0
3,205,5.0
3,206,4.5
4,101,3.0
4,102,4.0
4,103,3.0
4,104,2.0
4,105,2.0
4,106,3.0
4,107,5.0
4,108,3.0
4,109,3.0
4,110,2.0
4,207,5.0
4,208,4.5
5,101,4.0
5,102,3.0
5,103,5.0
5,104,3.0
5,105,2.0
5,106,2.0
5,107,3.0
5,108,2.0
5,109,4.0
5,110,2.0
5,201,3.5
5,209,4.0
6,101,5.0
6,102,2.0
6,103,5.0
6,104,4.0
6,105,2.0
6,106,2.0
6,107,2.0
6,108,1.0
6,109,5.0
6,110,2.0
6,201,5.0
6,209,4.5
7,101,2.0
7,102,5.0
7,103,5.0
7,104,2.0
7,105,2.0
7,106,2.0
7,107,3.0
7,108,4.0
7,109,2.0
7,110,2.0
7,203,4.5
7,204,5.0
8,101,3.0
8,102,3.0
8,103,2.0
8,104,4.0
8,105,5.0
8,106,5.0
8,107,2.0
8,108,2.0
8,109,2.0
8,110,4.0
8,205,4.5
8,206,4.0
9,101,3.0
9,102,4.0
9,103,3.0
9,104,2.0
9,105,3.0
9,106,4.0
9,107,4.0
9,108,3.0
9,109,3.0
9,110,3.0
9,207,4.0
9,210,4.5
10,101,4.0
10,102,2.0
10,103,4.0
10,104,5.0
10,105,2.0
10,106,2.0
10,107,2.0
10,108,3.0
10,109,4.0
10,110,2.0
10,201,4.5
10,209,4.0
2,201,4.0
2,209,3.5
3,201,3.0
3,203,4.0
4,201,3.5
4,203,3.0
5,203,4.0
5,205,3.5
6,203,3.0
6,205,4.0
7,201,3.5
7,205,4.0
8,201,4.0
8,203,3.5
9,201,3.0
9,205,3.5
10,203,4.0
10,205,3.5
2,202,4.0
2,210,4.5
3,202,3.5
3,210,3.0
4,202,3.0
4,210,4.0
5,202,4.0
5,206,3.5
5,207,4.0
6,202,4.5
6,206,3.5
6,210,4.0
7,202,3.5
7,206,4.0
7,210,3.5
8,202,3.0
8,207,3.5
8,210,4.0
9,202,4.0
9,206,3.5
10,202,4.5
10,206,3.0
10,207,3.5
6,202,4.5
6,204,3.5
6,208,4.0
10,202,4.0
10,204,4.5
10,208,3.5
5,204,3.5
5,208,4.0
1,301,4.5
1,306,4.0
2,307,5.0
2,309,4.5
3,304,5.0
3,305,4.5
3,310,4.0
4,302,5.0
4,308,4.5
5,301,4.0
5,306,4.5
6,301,5.0
6,306,4.0
6,309,3.5
7,307,4.5
7,303,5.0
8,304,4.5
8,310,4.0
9,302,4.0
9,308,3.5
10,301,4.5
10,306,4.0
10,309,3.5
2,303,4.0
3,309,3.5
4,309,3.0
5,303,3.5
6,303,4.0
6,307,3.5
7,301,3.5
7,306,4.0
8,301,3.5
8,306,3.0
9,301,3.5
9,306,4.0
10,303,3.5
10,307,3.0
2,301,3.5
2,306,3.0
3,301,3.0
3,306,3.5
3,307,3.0
4,301,3.0
4,303,3.5
4,306,3.0
5,304,4.0
5,307,3.5
5,308,3.5
6,304,3.5
6,308,4.0
6,310,3.5
7,304,3.5
7,308,4.0
7,309,4.0
7,310,3.5
8,302,3.5
8,303,3.0
8,307,3.5
8,308,3.0
8,309,3.5
9,303,4.0
9,304,3.5
9,307,3.5
9,309,3.0
9,310,3.5
10,302,3.5
10,304,3.5
10,308,3.5
10,310,3.0
6,302,4.0
6,305,3.5
10,302,4.5
10,304,4.0
10,305,3.5
10,307,4.0
10,310,4.5
6,310,4.5
6,307,4.5
